"place","longtitude","lattitude","count","region"
"青葉城","38.2520916","140.85592749999998","20","東北"
"松岬公園","37.909352399999996","140.1048278","1","東北"
"東照宮","36.757171500000005","139.599984","216","東北"
"藤田紀念庭園","40.6038301","140.46122780000002","3","東北"
"會津若松城","37.4878198","139.9296657","13","東北"
"霞城","38.255430600000004","140.3280763","7","東北"
"氣仙沼","38.90807849999999","141.5699919","11","東北"
"弘前昇天教會","40.599394700000005","140.4732065","6","東北"
"弘前城植物園","40.606181","140.4660706","4","東北"
"龍泉洞","39.8601711","141.79691069999998","3","東北"
"山形城","38.254735499999995","140.3282366","15","東北"
"江刺藤原之鄉","39.1974459","141.1889988","1","東北"
"十和田八幡平","40.1817168","140.78555380000003","4","東北"
"稻荷神社","34.9671402","135.7726717","236","東北"
"小安峽","39.0060511","140.6646796","6","東北"
"津輕五所川原","40.809633899999994","140.4477764","5","東北"
"津輕鐵道","40.964841","140.44096100000002","15","東北"
"斜陽館","40.9026421","140.4553396","7","東北"
"太宰治紀念館","40.9026421","140.4553396","2","東北"
"睡魔之家","40.82962029999999","140.7359079","15","東北"
"黑石","40.616492","140.701454","10","東北"
"安比高原","40.0072149","140.9758378","6","東北"
"檜木內川堤","39.7017569","140.5542475","9","東北"
"城倉大橋","40.650471200000005","140.8257091","3","東北"
"出羽三山","38.702469799999996","139.9829248","4","東北"
"飯豐町","38.045826500000004","139.9875295","4","東北"
"月山","38.5489869","140.026868","11","東北"
"南田溫泉","40.588","140.57084","1","東北"
"青森屋","40.6617344","141.3554737","4","東北"
"上山溫泉","38.1581861","140.2733616","5","東北"
"無量光院跡","38.993472","141.11582280000002","3","東北"
"秋田空港","39.6119022","140.2198671","3","東北"
"種差海岸","40.508940100000004","141.6098542","2","東北"
"山形空港","38.410634","140.366448","3","東北"
"鶴之湯溫泉","39.805091299999994","140.7797083","3","東北"
"星野度假村","43.063565000000004","142.63136799999998","21","北海道"
"三澤","40.683133700000006","141.3689761","12","東北"
"岩出山城","38.654837799999996","140.86034809999998","2","東北"
"三內丸山","40.8114904","140.6973031","2","東北"
"男鹿真山傳承館","39.9286956","139.7666874","1","東北"
"上山城","38.157497","140.276198","4","東北"
"北野天滿宮","35.031401200000005","135.73512150000002","359","關西"
"天滿宮","36.08586079999999","139.717119","456","關西"
"延曆寺","35.070463399999994","135.8411275","67","關西"
"金閣寺","35.03937","135.7292431","858","關西"
"清水寺","34.9948561","135.78504630000003","1770","關西"
"琵琶湖","35.345639399999996","136.17090119999997","373","關西"
"三千院","35.1197018","135.834335","129","關西"
"貴船神社","35.12164070000001","135.7629062","156","關西"
"銀閣寺","35.0270213","135.7982058","494","關西"
"京都車站","34.985849","135.7587667","1340","關西"
"比叡山","35.0689027","135.8303282","175","關西"
"鞍馬寺","35.1179804","135.770981","100","關西"
"祇園","35.003794","135.777143","979","關西"
"錦市場","35.0045","135.76467639999998","574","關西"
"御堂筋","34.683597999999996","135.5007813","346","關西"
"通天閣","34.6524992","135.5063058","431","關西"
"河原町","35.003751","135.7687486","778","關西"
"二條城","35.0142299","135.74821799999998","182","關西"
"知恩院","35.0054141","135.7823785","190","關西"
"醍醐寺","34.951024","135.819563","215","關西"
"三寶院","34.952290000000005","135.819298","70","關西"
"鶴見綠地","34.710494","135.579996","47","關西"
"長谷寺","35.312464500000004","139.5330634","102","關西"
"神戶港","34.682629999999996","135.1866995","256","關西"
"奈良公園","34.685047","135.84301200000002","459","關西"
"八坂神社","35.0036559","135.7785534","542","關西"
"姬路城","34.839449","134.6939047","449","關西"
"好古園","34.8379444","134.68975419999998","100","關西"
"花見小路","35.00511470000001","135.77518469999998","515","關西"
"心齋橋","34.675057200000005","135.50037719999997","1161","關西"
"東大寺","34.688985100000004","135.8398158","767","關西"
"本能寺","35.0102837","135.7683044","91","關西"
"生田神社","34.694832","135.19069199999998","50","關西"
"嵐山","35.009449","135.666773","1257","關西"
"道頓堀","34.6687235","135.5012953","627","關西"
"LUCUA","34.7028884","135.4955467","15","關西"
"渡月橋","35.01287979999999","135.67775830000002","429","關西"
"伏見稻荷神社","34.9671402","135.7726717","96","關西"
"法善寺橫丁","34.66787670000001","135.502613","27","關西"
"關西空港","34.432002399999995","135.2303939","586","關西"
"天橋立","35.569802200000005","135.1918204","153","關西"
"天王寺動物園","34.65072680000001","135.50769580000002","53","關西"
"梅田空中庭園","34.705250899999996","135.4903263","116","關西"
"建仁寺","35.0007297","135.773822","93","關西"
"臨空城","34.410716","135.29955900000002","76","關西"
"天保山","34.658029799999994","135.4326491","233","關西"
"智恩寺","35.5587127","135.1838895","31","關西"
"神戶塔","34.682629999999996","135.1866995","79","關西"
"中之島公園","34.6924363","135.5078665","66","關西"
"大阪城公園","34.6823301","135.5306297","291","關西"
"日本橋","34.666703000000005","135.50628799999998","589","關西"
"海遊館","34.654518200000005","135.4289645","180","關西"
"全興寺","34.6232993","135.55539299999998","1","關西"
"天龍寺","35.0158275","135.673771","525","關西"
"北野異人館","34.6988804","135.18929719999997","224","關西"
"二尊院","35.0217831","135.66954840000002","75","關西"
"常寂光寺","35.019648","135.66867299999998","269","關西"
"寶嚴院","35.014788","135.673706","37","關西"
"下鴨神社","35.03874879999999","135.7729868","262","關西"
"二条城","35.0142299","135.74821799999998","264","關西"
"伏見城","34.9394641","135.7768161","53","關西"
"京都御所","35.0254135","135.7621246","190","關西"
"南禪寺","35.01137870000001","135.79376409999998","385","關西"
"禪林寺","35.014294899999996","135.795399","41","關西"
"道成寺","33.9144986","135.1745503","6","關西"
"熊野神社","37.864747799999996","140.5546804","61","關西"
"熊野那智大社","33.6688052","135.8898601","22","關西"
"熊野三山","33.7317956","135.9836435","23","關西"
"熊野古道","34.4631109","136.56539750000002","41","關西"
"高野山","34.216666700000005","135.58333330000002","88","關西"
"青岸渡寺","33.6691474","135.8898487","19","關西"
"熊野速玉大社","33.7317956","135.9836435","13","關西"
"熊野本宮大社","33.840532399999994","135.77361919999998","19","關西"
"長岡天満宮","34.92264","135.686925","2","關西"
"四天王寺","34.6533466","135.516491","161","關西"
"大阪城天守閣","34.6873153","135.5262013","172","關西"
"東福寺","34.9765117","135.77423269999997","331","關西"
"美山合掌村","36.2560756","136.90617959999997","6","關西"
"清涼寺","35.023498","135.674289","50","關西"
"海津大崎","35.4496526","136.0876132","35","關西"
"吉田神社","35.025377","135.784731","28","關西"
"城南宮","34.951083000000004","135.746509","24","關西"
"寂光院","35.1241","135.821045","45","關西"
"賀茂御祖神社","35.03874879999999","135.7729868","45","關西"
"河合神社","35.034778700000004","135.7719345","61","關西"
"東本願寺","34.991005200000004","135.7584791","146","關西"
"美山町","35.0668972","137.11786180000001","54","關西"
"美山町北村","35.311017799999995","135.6218781","5","關西"
"移情閣","34.630154","135.034399","29","關西"
"和歌山城","34.227616999999995","135.171464","77","關西"
"三井寺","35.0133609","135.8528507","23","關西"
"龍安寺","35.0344943","135.7182634","115","關西"
"仁和寺","35.03109370000001","135.7138198","137","關西"
"曼殊院","35.048905","135.802942","30","關西"
"高台寺","35.000768","135.781112","371","關西"
"泉湧寺","34.97804","135.78034169999998","9","關西"
"詩仙堂","35.0437249","135.7961294","46","關西"
"圓光寺","35.045091","135.797065","49","關西"
"圓山公園","35.003915","135.780895","143","關西"
"平等院","34.8892908","135.8076783","293","關西"
"春日大社","34.6813804","135.8483856","537","關西"
"春日神社","34.6813804","135.8483856","31","關西"
"中谷堂","34.6819414","135.8289186","91","關西"
"彥根城","35.272169","136.263278","163","關西"
"日本環球影城","34.665442","135.4323382","41","關西"
"萌黃館","34.7009691","135.1892665","20","關西"
"國立國際美術館","34.691763","135.4919418","6","關西"
"美國村","34.671951","135.498719","487","關西"
"大阪市立科學館","34.691216","135.491468","8","關西"
"野宮神社","35.0177597","135.6742103","301","關西"
"伏見稲荷大社","34.9671402","135.7726717","37","關西"
"平安神宮","35.0159823","135.7824263","394","關西"
"明石大橋","34.6174683","135.02167509999998","138","關西"
"摩賽克廣場","34.6802841","135.1842695","19","關西"
"東寺","34.981117700000006","135.74759640000002","184","關西"
"哲學之道","35.0214836","135.7942056","428","關西"
"廬山寺","35.0246213","135.76827849999998","9","關西"
"晴明神社","35.0277531","135.75138669999998","159","關西"
"舞子海上玻璃步道","34.630728999999995","135.03296799999998","2","關西"
"竹林之道","35.0177597","135.6742103","66","關西"
"龜岡駅","35.016689500000005","135.5824658","14","關西"
"嵐山駅","35.015230700000004","135.6777439","84","關西"
"宇治上神社","34.892068","135.81143899999998","125","關西"
"京都塔","34.987563","135.7593435","356","關西"
"一乘寺","35.044128","135.787383","57","關西"
"京都大學","35.026244399999996","135.7808218","120","關西"
"金剛峯寺","34.214149","135.584109","6","關西"
"隨心院","34.959276200000005","135.8164132","2","關西"
"車折神社","35.0160726","135.68894780000002","18","關西"
"靈山歷史館","34.998988","135.782617","7","關西"
"地主神社","34.9952134","135.78501459999998","421","關西"
"法觀寺","34.998554299999995","135.7792257","40","關西"
"金剛寺","34.4286309","135.52927490000002","14","關西"
"祇園甲部歌舞練場","35.0014632","135.77583969999998","5","關西"
"八坂庚申堂","34.998293200000006","135.7787313","18","關西"
"二寧坂","34.998121999999995","135.7808431","30","關西"
"美御前社","35.0037375","135.77904660000002","27","關西"
"八坂塔","34.998554299999995","135.7792257","97","關西"
"音羽瀑布","34.99443","135.78526100000002","74","關西"
"二月堂","34.689279","135.84428","121","關西"
"梅田車站","34.703945000000004","135.4976704","62","關西"
"射楯兵主神社","34.8340723","134.6966226","2","關西"
"大阪生活今昔館","34.710356","135.5116374","84","關西"
"上方浮世繪館","34.6679548","135.50215930000002","16","關西"
"紀州東照宮","34.1926349","135.16567859999998","3","關西"
"紀三井寺","34.185173","135.19002700000001","30","關西"
"猿澤池","34.6814297","135.831088","46","關西"
"平城宮跡","34.690710100000004","135.7942811","40","關西"
"若草山","34.6905984","135.8540178","112","關西"
"本願寺","34.991502000000004","135.751721","92","關西"
"法善寺","34.66787670000001","135.502613","64","關西"
"平野神社","35.0326171","135.73198469999997","116","關西"
"西大寺","34.6936143","135.7794983","64","關西"
"金峰神社","34.342595200000005","135.88182350000002","3","關西"
"伊勢神宮","34.455009999999994","136.72579299999998","137","關西"
"宇治平等院","34.8892908","135.8076783","51","關西"
"興福寺","34.682883000000004","135.83222709999998","239","關西"
"上賀茂神社","35.0592809","135.75252969999997","104","關西"
"大覺寺","35.028325","135.677803","74","關西"
"大阪造幣局","34.6959158","135.52173369999997","48","關西"
"橿原神宮","34.488352899999995","135.78697209999999","33","關西"
"吉水神社","34.3672776","135.8619503","14","關西"
"住吉大社","34.6127972","135.4929406","49","關西"
"法隆寺","34.6140766","135.7356826","77","關西"
"戎橋筋","34.6690539","135.50129619999998","39","關西"
"淡嶋神社","34.273680600000006","135.066521","6","關西"
"青蓮院","35.007312","135.783161","65","關西"
"善峰寺","34.938119799999996","135.6444644","7","關西"
"三十三間堂","34.9878845","135.7717126","169","關西"
"枚岡神社","34.6699515","135.6506858","3","關西"
"萬葉植物園","34.6822718","135.8445826","26","關西"
"東向商店街","34.6834052","135.8287521","26","關西"
"奈良國立博物館","34.6836091","135.8366504","26","關西"
"元興寺","34.677799","135.831298","33","關西"
"白鷺城","34.839449","134.6939047","56","關西"
"瀧原宮","34.3660446","136.4258865","1","關西"
"橋杭岩","33.488287400000004","135.79575680000002","6","關西"
"有馬溫泉","34.8","135.25","165","關西"
"佛光寺","35.001863","135.76293700000002","12","關西"
"萬博紀念公園","34.808246000000004","135.5323947","26","關西"
"若松公園","34.6555831","135.1439515","2","關西"
"格子之家","34.675011","135.830736","15","關西"
"頂法寺","35.007653000000005","135.760252","7","關西"
"円山公園","35.0038803","135.7809168","119","關西"
"竹林步道","35.017857","135.674247","82","關西"
"鹿苑寺","35.03937","135.7292431","120","關西"
"南宗寺","34.5690176","135.4685491","1","關西"
"高須神社","34.590533","135.485259","1","關西"
"大仙公園","34.559506400000004","135.4795344","1","關西"
"天神橋筋商店街","34.710555","135.511243","70","關西"
"大阪天滿宮","34.6960608","135.5126167","47","關西"
"豐國神社","34.991561","135.772476","94","關西"
"方廣寺","34.9921289","135.77201169999998","21","關西"
"圓月島","33.69007379999999","135.3364399","12","關西"
"三段壁洞窟","33.6654688","135.3352209","11","關西"
"依水園","34.6857015","135.8376667","3","關西"
"手向山八幡宮","34.687944200000004","135.844644","14","關西"
"金戒光明寺","35.019655","135.788019","23","關西"
"穴太寺","35.006628000000006","135.549222","1","關西"
"北野町廣場","34.701229600000005","135.189697","7","關西"
"千日前道具屋筋商店街","34.6637866","135.5035586","13","關西"
"大門坂","33.6712451","135.89747250000002","16","關西"
"潮岬","33.4479784","135.76141909999998","6","關西"
"大阪府咲洲行政大樓展望台","34.6382413","135.4149112","18","關西"
"勝尾寺","34.865862","135.491041","10","關西"
"箕面","34.826930100000006","135.4704626","31","關西"
"補陀洛山寺","33.6447321","135.93443369999997","4","關西"
"石塀小路","34.9999354","135.7797946","67","關西"
"浮御堂","35.109851299999995","135.9215934","5","關西"
"八幡堀","35.1397044","136.08996240000002","15","關西"
"開口神社","34.576881","135.47460700000002","1","關西"
"菅原神社","35.55911879999999","139.44727859999998","7","關西"
"西本願寺","34.991488000000004","135.751735","182","關西"
"上野城","34.770164","136.12711000000002","17","關西"
"賀茂別雷神社","35.0592809","135.75252969999997","22","關西"
"智積院","34.9873696","135.77642609999998","15","關西"
"石清水八幡宮","34.879676","135.700049","11","關西"
"鳳翔館","34.888699200000005","135.80739509999998","53","關西"
"安井金比羅宮","34.999949900000004","135.7758335","36","關西"
"涉成園","34.9914077","135.76323689999998","24","關西"
"等持院","35.0315558","135.7234521","5","關西"
"大德寺","35.043890999999995","135.74603000000002","26","關西"
"藥師寺","34.6686468","135.7845667","45","關西"
"唐招提寺","34.675561","135.7848334","37","關西"
"春日山原始林","34.6862549","135.8727157","7","關西"
"正倉院","34.6918398","135.8385791","11","關西"
"三室戶寺","34.900478799999995","135.8191935","28","關西"
"由岐神社","35.116246999999994","135.7715","19","關西"
"岡寺","34.471814","135.828321","5","關西"
"壺湯","33.8293221","135.7577832","11","關西"
"黑潮市場","34.15366220000001","135.1758928","25","關西"
"大齋原","33.840532399999994","135.77361919999998","6","關西"
"八大神社","35.043711","135.79673799999998","14","關西"
"出石城","35.4663614","134.8722142","4","關西"
"竹田城跡","35.3006044","134.82916809999998","18","關西"
"大坂城","34.6873153","135.5262013","38","關西"
"白濱溫泉","33.6759926","135.33736000000002","11","關西"
"水路閣","35.0105848","135.7938542","49","關西"
"寶山寺","34.684523299999995","135.68665900000002","3","關西"
"平安神宮神苑","35.0159823","135.7824263","17","關西"
"妙心寺","35.0231676","135.72018630000002","17","關西"
"靈鑑寺","35.02068","135.796316","2","關西"
"安樂寺","35.021570000000004","135.796119","15","關西"
"法然院","35.023984999999996","135.797415","42","關西"
"元伊勢籠神社","35.58278370000001","135.1967015","11","關西"
"成相寺","35.595586","135.187433","17","關西"
"神戶城","34.839449","134.6939047","2","關西"
"采女神社","34.681892","135.8302065","5","關西"
"華嚴寺","34.993595","135.68491","38","關西"
"hepfive","34.7040619","135.50029609999999","5","關西"
"奈良縣立美術館","34.6858874","135.83261299999998","1","關西"
"相國寺","35.03222120000001","135.7617219","43","關西"
"大阪市立美術館","34.6500639","135.51047169999998","7","關西"
"日吉大社","35.0729128","135.8650648","22","關西"
"雞足寺","35.509731","136.252915","7","關西"
"竹田城","35.3006044","134.82916809999998","27","關西"
"永観堂","35.014294899999996","135.795399","22","關西"
"松尾大社","34.999936","135.6849558","26","關西"
"金地院","35.010284000000006","135.79038799999998","4","關西"
"広隆寺","35.0155","135.7072898","1","關西"
"賀茂神社","35.0592809","135.75252969999997","4","關西"
"高雄神護寺","35.055025","135.670867","26","關西"
"神護寺","35.055025","135.670867","86","關西"
"法輪寺","35.010249","135.676984","21","關西"
"金剛峰寺","34.214149","135.584109","20","關西"
"源氏物語博物館","34.8938082","135.8103411","32","關西"
"梅宮大社","35.004141600000004","135.6949055","7","關西"
"飛鳥寺","34.478858","135.820216","9","關西"
"石舞台古墳","34.4668011","135.82613","3","關西"
"難波八阪神社","34.6616246","135.4966915","7","關西"
"心齋橋商店街","34.671117200000005","135.5013491","69","關西"
"阿倍野HARUKAS","34.64577379999999","135.51424319999998","31","關西"
"御金神社","35.0118244","135.7550064","6","關西"
"西芳寺","34.9919643","135.6833094","35","關西"
"苔寺","34.9919643","135.6833094","44","關西"
"八坂之塔","34.998554299999995","135.7792257","14","關西"
"長濱城","35.377623","136.261234","34","關西"
"岡山城","34.66519","133.936058","144","關西"
"籠神社","35.58278370000001","135.1967015","9","關西"
"勝浦溫泉","33.628121","135.94183600000002","4","關西"
"神倉神社","33.7222073","135.98278059999998","5","關西"
"長命寺","35.162737","136.0639489","4","關西"
"明石魚之棚","34.647184","134.992332","3","關西"
"明石城","34.652800899999995","134.9917886","14","關西"
"溫泉寺","35.505532","138.7601202","26","關西"
"青蓮寺","34.594845","136.11031699999998","6","關西"
"住吉神社","34.612435","135.493456","21","關西"
"南禅寺","35.01137870000001","135.79376409999998","25","關西"
"愛宕神社","35.6647566","139.7484781","19","關西"
"錦城","34.687306","135.526223","18","關西"
"曼殊院門跡","35.048905","135.802942","5","關西"
"西明寺","34.771251","136.1460843","43","關西"
"高山寺","35.06011910000001","135.6785729","46","關西"
"寶嚴寺","35.4215005","136.1432003","4","關西"
"竹生島神社","35.4207208","136.1440997","4","關西"
"桃山城","34.9394641","135.7768161","17","關西"
"竹生島","35.42319579999999","136.1440677","18","關西"
"玄宮園","35.277890000000006","136.2539424","23","關西"
"梨木神社","35.0243241","135.76747360000002","10","關西"
"室生寺","34.5365849","136.03955459999997","5","關西"
"那智大瀑布","33.6753307","135.8876181","1","關西"
"勝鬘院","34.657395","135.512582","1","關西"
"一澤信三郎帆布","35.0076293","135.7777482","13","關西"
"天満宮","36.08586079999999","139.717119","8","關西"
"阿闍梨餅本舗","35.030091299999995","135.7780658","2","關西"
"近江神宮","35.0321427","135.8523624","7","關西"
"北野天満宮","35.031401200000005","135.73512150000002","14","關西"
"化野念仏寺","35.026771999999994","135.664512","2","關西"
"山王美術館","34.6666563","135.49614440000002","1","關西"
"廣隆寺","35.0155","135.7072898","8","關西"
"萬福寺","34.9143064","135.8060418","6","關西"
"信樂町","34.877209","136.061337","4","關西"
"信樂陶藝村","34.877209","136.061337","1","關西"
"保津川峽谷","34.8833333","135.68333330000002","5","關西"
"龜岡城","35.013152399999996","135.6067005","4","關西"
"雄琴溫泉","35.097791","135.895289","11","關西"
"護王神社","35.022194","135.758999","24","關西"
"氷室神社","34.687703000000006","135.155893","5","關西"
"MIHO美術館","34.914865999999996","136.016165","11","關西"
"御香宮神社","34.93445800000001","135.76748999999998","6","關西"
"中宮寺","34.614967","135.739576","10","關西"
"法起寺","34.6229907","135.74622109999999","9","關西"
"串本海中公園","33.480827399999995","135.7448937","3","關西"
"伏見稻荷車站","34.9667789","135.77083369999997","12","關西"
"今宮戎神社","34.6553476","135.5024773","4","關西"
"六甲山人工滑雪場","34.767938","135.2425658","1","關西"
"西陣織會館","35.028764","135.751674","34","關西"
"安土城","35.15591920000001","136.13940559999998","31","關西"
"琵琶湖博物館","35.074246","135.935022","1","關西"
"壬生寺","35.001639000000004","135.743325","11","關西"
"金剛輪寺","35.16123890000001","136.2830541","4","關西"
"百濟寺","35.12688929999999","136.2887266","4","關西"
"石山寺","34.960875","135.9074343","17","關西"
"夙川公園","34.7355598","135.3289578","8","關西"
"郡山城","34.6513206","135.77937509999998","14","關西"
"伊都郡高野町","34.2160686","135.58653619999998","5","關西"
"京都大原三千院","35.1197018","135.834335","3","關西"
"日牟禮八幡宮","35.141045","136.08963300000002","10","關西"
"實相院","35.0790346","135.781519","3","關西"
"靈山寺","34.1594187","134.5029696","6","關西"
"浪速海洋時空館","34.6399609","135.4046006","2","關西"
"矢田寺","34.6495602","135.73651669999998","4","關西"
"率川神社","34.6812828","135.8257332","1","關西"
"橘寺","34.470103","135.817489","7","關西"
"道明寺","34.566978399999996","135.61395249999998","13","關西"
"須磨寺","34.6497464","135.1117864","2","關西"
"金峯山寺","34.3683744","135.858839","12","關西"
"玩具博物館","34.661162","135.505886","19","關西"
"善福寺","35.653565","139.732826","6","關西"
"龍神溫泉","33.956321","135.56211480000002","2","關西"
"六波羅蜜寺","34.9971067","135.7733534","6","關西"
"安土城跡","35.15591920000001","136.13940559999998","4","關西"
"猿田彥神社","34.4669514","136.7205067","7","關西"
"泉涌寺","34.97804","135.78034169999998","5","關西"
"月讀宮","34.4732445","136.7289814","3","關西"
"新藥師寺","34.675866","135.846177","9","關西"
"不退寺","34.694794","135.812521","2","關西"
"叡福寺","34.518258700000004","135.6391572","1","關西"
"法華寺","34.692496000000006","135.804226","1","關西"
"飛鳥坐神社","34.479735","135.8227354","3","關西"
"天王寺車站","34.6478416","135.5132226","14","關西"
"金剛山","34.419338","135.672856","13","關西"
"光悅寺","35.053412","135.730312","9","關西"
"淨土寺","34.864163500000004","134.9610983","9","關西"
"奥之院","34.223884000000005","135.613779","3","關西"
"大神神社","34.528786","135.8530022","14","關西"
"大阪天満宮","34.6960608","135.5126167","11","關西"
"伊賀流忍者博物館","34.7717255","136.1291159","11","關西"
"三角公園","34.6720876","135.49790480000001","11","關西"
"談山神社","34.4658783","135.86129230000003","10","關西"
"環球影城","34.665433","135.43236000000002","506","關西"
"靈山觀音","34.999707","135.78176200000001","12","關西"
"五箇山合掌","36.2560756","136.90617959999997","13","中部"
